Restaurant Name,Dining Rating,Delivery Rating,Dining Votes,Delivery Votes,Cuisine ,Place Name,City,Item Name,Best Seller,Votes,Prices
Domino's Pizza,2.5,4.0,14,0,Desserts,Rasta Peth, Pune,Veg Loaded,BESTSELLER,34,159.0
Thali and More,4.7,4.1,0,0,Beverages,C Scheme, Jaipur,Crispy Corn,,0,300.0
Marwadi Chaat & Tiffin Services,3.7,3.8,107,0,Beverages,Shanti Nagar, Bangalore,2 Aloo Paratha With Curd And Pickle,BESTSELLER,101,215.0
Burger King,4.0,4.0,162,0,Beverages,Pink Square Mall, Jaipur,Paneer Royale Burger,,48,199.0
Amritsar Punjab Paratha,3.9,3.7,4,546,Beverages,Ambavadi, Ahmedabad,Cheese Chilli,,0,229.0
Chill Out,3.7,4.3,32,0,Beverages,Bibvewadi, Pune,Special Thick Cold Coffee,BESTSELLER,33,60.0
EatFit,,4.1,0,0,Beverages,Cunningham Road, Bangalore,"8"" BBQ Chicken Pizza",MUST TRY,33,329.0
McDonald's,3.6,3.9,152,0,Fast Food,Anna Salai, Chennai,Masala Pop Sprite,,0,94.28
Louis Burger,,4.1,0,774,Fast Food,Banjara Hills, Hyderabad,Vegan Gratitude Burger,,5,369.0
Burger Farm,4.1,4.2,0,0,Beverages,C Scheme, Jaipur,Chicken Fingers Nine Pcs,,19,214.0
Delhi Darbar Dhaba,3.8,3.7,135,0,Mughlai,Gole Market, New Delhi,Shahi Paneer With 3 Roti,,8,250.0
The Yellow House - The Robot Restaurant,3.9,3.3,0,0,Beverages,C Scheme, Jaipur,Mushroom Masala,,0,285.0
Cream Craver,4.1,4.2,0,0,Beverages,Camp Area, Pune,Jeera Aloo,,0,200.0
One By Two,,4.0,0,0,Momos,Prabhadevi, Mumbai,Veg Triple Schezwan Fried Rice,BESTSELLER,144,249.0
Sip 'N' Bite's,,3.7,1,0,Pizza,Dobson Road, Kolkata,Egg Double Chicken Fried Rice,,0,250.0
William John's Pizza,3.3,3.9,0,22,American,Navrangpura, Ahmedabad,French Fries,,0,94.0
Roll Point,4.0,4.1,111,0,Chinese,Dhankawadi, Pune,Chicken Roll,BESTSELLER,36,110.0
The Old Mirchi Biryani,,4.2,0,0,Desserts,Alwarpet, Chennai,Tandoori Chicken,BESTSELLER,271,170.0
Hot 100,4.2,4.3,252,0,Pizza,Devendra Nagar, Raipur,Gobi Palak Paratha,,0,205.0
Maharaja Restaurant,3.2,3.5,67,0,Chinese,Charbagh, Lucknow,Egg Do Pyaza [2 Eggs],,0,150.0
Go Biryan,,3.9,0,0,Rolls,Lower Parel, Mumbai,Raan Biryani Bhuna (Serves 4-6),,0,2899.0
Goli Vada Pav No. 1,3.3,3.7,1,213,Ice Cream,Kammanahalli, Bangalore,Makkai Palak Roll,,0,113.33
RNR Biryani - Taste Of 1953,4.2,4.3,0,0,Andhra,Jayanagar, Bangalore,Paneer Kothimeera Curry,,0,265.0
McDonald's,3.6,4.0,264,0,Desserts,MG Road, Kochi,McVeggie Burger + Masala Wedges (R),,0,154.29
The Garam Chulha,,4.1,0,878,Chinese,Aliganj, Lucknow,Honey Chilli Mushroom,,0,169.0
A2B - Adyar Ananda Bhavan,3.4,4.1,6,0,Beverages,Shanti Nagar, Bangalore,Garlic Pickle [400 Gm],,0,209.82
MS Food,,3.7,0,5,Shake,Navrangpura, Ahmedabad,Tandoori Paneer Club Sandwich,,0,199.0
Samco,3.8,4.2,634,0,Beverages,Alwarpet, Chennai,Mix Veg Platter,,0,603.0
Rominus Pizza And Burger,3.7,4.0,35,0,Fast Food,C Scheme, Jaipur,BM Veggie Makhani,,11,148.0
Victorian Bakery,,4.1,0,0,Street Food,Jawahar Nagar, Jaipur,Victorian Special Patties,CHEF'S SPECIAL,17,55.0
Fayrouz,4.3,4.1,322,0,Beverages,Prahlad Nagar, Ahmedabad,Fish Finger,,9,630.0
Neelkanth Sweets,4.2,4.3,779,0,Beverages,Gomti Nagar, Lucknow,Dahi Batashe [1 Plate],,9,120.0
KGN Chicken Corner & Biryani Center,3.1,3.7,44,0,Pizza,Mowa, Raipur,Anda Omelette,,0,50.0
Puffizza,4.3,4.1,0,0,Beverages,Gurukul, Ahmedabad,Mexican Heat Wave Pizza,SPICY,14,264.0
Cheers,4.1,4.3,458,0,Ice Cream,C G Road, Ahmedabad,Mixed Fruit Thickshake,,0,138.1
Oudh 1590,4.2,4.1,0,0,Pizza,Sector 1, Kolkata,Murgh Bhuna [4 Pieces],BESTSELLER,154,350.0
Delhi Darbar Dhaba,3.8,3.7,135,0,Mughlai,Gole Market, New Delhi,Shahi Paneer With 3 Roti,,8,250.0
Keifer,,3.7,0,140,Shake,Purasavakkam, Chennai,Choco Truffle Pastry,,0,70.0
Bucket Biryani,3.6,4.2,15,981,Kebab,Brigade Road, Bangalore,Egg Fried Rice,,0,204.0
Crystal Restaurant & Bar,4.2,3.9,697,0,Biryani,Nallakunta, Hyderabad,Andhra Chicken,,18,305.0
Ritz Classic,4.4,4.1,105,405,Beverages,Mall De Goa, Goa,Kingfish Ambot Tik [2 Pieces],CHEF'S SPECIAL,0,650.0
Mayur Pan House,4.3,3.9,564,0,Ice Cream,Abids, Hyderabad,Rose Gola,,9,60.0
Bucket Biryani,3.6,4.2,15,981,Kebab,Brigade Road, Bangalore,Mutton Rogan Josh Gravy,,0,360.0
Siddique Kabab Centre,4.4,4.1,732,0,Chinese,Tolichowki, Hyderabad,Paneer Butter Masala,,44,108.0
Al Baik Xpress,3.2,3.6,97,0,Sandwich,Khurram Nagar, Lucknow,Smart Crispy Combo,,28,248.0
Balaji Santosh Family Dhaba,3.8,4.1,273,0,Beverages,Amberpet, Hyderabad,Hakka Noodles,,14,230.0
Sip & Bite,3.5,3.8,14,175,Beverages,Malakpet, Hyderabad,Cold Coffee With Ice Cream,BESTSELLER,0,150.0
Nazeer Juice Center,2.9,4.2,5,0,Shake,Charminar, Hyderabad,Matka Salad,BESTSELLER,98,150.0
Dastarkhwan,4.5,4.0,0,0,Awadhi,Kaiserbagh, Lucknow,Butter Chicken,BESTSELLER,135,400.0
The Momoz Hub,,4.0,0,183,Beverages,C Scheme, Jaipur,Cheese Pahadi Vilayti Momos,,0,308.0
FPF  Coffee Wale Bhaiya,3.1,4.1,9,914,Beverages,Pink City, Jaipur,Veg Supreme Burger + French Fries + Cold Coffee,,0,217.0
Khandelwal Dhaba Purana Wala,3.9,4.0,353,0,South Indian,Sikar Road, Jaipur,Pyaz Parantha,,18,120.0
Anju Sweets,4.3,3.8,711,0,Desserts,Inderlok, New Delhi,Laal Jamun,,0,150.0
Firewood Pizza,,3.3,0,320,Italian,Gopalpura, Jaipur,Paneer Onion Pizza,BESTSELLER,31,159.0
Bucket Biryani,3.6,4.2,15,981,Kebab,Brigade Road, Bangalore,Mutton Rogan Josh Gravy,,0,360.0
Zam Zam Briyani,3.3,3.4,24,0,North Indian,Choolaimedu, Chennai,Chicken Fried Rice,BESTSELLER,117,145.0
WOW! Momo,3.0,4.2,4,180,Fast Food,Church Street, Bangalore,Chicken Darjeeling Steam Momo,MUST TRY,25,219.0
Little India,4.0,4.2,32,340,Biryani,Alwarpet, Chennai,Veg Balls And Hot Garlic Sauce,,0,240.0
Hotel Shubham Prestige,3.5,3.8,57,0,Beverages,Saroor Nagar, Hyderabad,Pepper Mushroom,,0,195.0
Tan-Sukh By Kanha,4.1,4.1,301,0,Desserts,C Scheme, Jaipur,Cheese Jalapeno Bites,,0,300.0
Hari Om Centre,3.3,3.7,63,0,Gujarati,Vastrapur, Ahmedabad,Paneer Pasanda [400 grams],,0,315.0
Radhe Restaurants,3.9,3.9,27,0,Beverages,Subhash Bridge, Ahmedabad,Aloo Fulawar,,0,256.5
Hari Om Chole Puri,3.8,3.9,47,0,Gujarati,Ellis Bridge, Ahmedabad,Aloo Matar [400 grams],,0,195.0
Italian Pizzeria,4.0,3.5,325,0,Shake,Mehdipatnam, Hyderabad,Pepperoni Grilled Sandwich with Fries,,0,140.0
Xero Degrees,,4.0,0,696,Pizza,Shankar Nagar, Raipur,Friends,,0,321.0
Shiraz Golden Restaurant,4.1,4.0,0,0,Pizza,Park Street Area, Kolkata,Chicken Tangri Kebab(4pcs),,5,415.0
Chote Nawab,4.0,3.6,668,0,Sichuan,Chembur, Mumbai,Paneer Lasooni Tikka,,0,299.0
Hotel Sennthur,3.8,4.2,171,0,Beverages,Anna Salai, Chennai,Mix Veg Curry,,0,173.0
Jassi De Parathe,4.3,4.3,0,0,Beverages,Vastrapur, Ahmedabad,Paneer Da Paratha.,,230,230.0
Delhi Dhaba,3.0,3.8,6,23,Beverages,Gopalapuram, Chennai,Subji Punjabi,,0,290.0
Axis Juice,,4.2,0,0,Pizza,Devendra Nagar, Raipur,Creamy Kitkat Milkshake,,46,160.0
The Fatty Bao,4.4,4.1,0,0,Chinese,Linking Road, Mumbai,Cottage Cheese with Spiced Red Vinegar and Scallion,SPICY,6,450.0
Dimsum Momo Express,3.9,3.8,0,3,Chinese,Chembur, Mumbai,Chicken Thai Yellow Curry With Steam Rice,,0,290.0
Tellicherry Kitchen,,3.8,0,0,Fast Food,Vennala, Kochi,Chicken Roast,,8,360.0
Gajanand Pauva House,3.7,3.9,15,214,Shake,Navrangpura, Ahmedabad,Veg Cheese Toast [250 grams],,0,140.0
Sri Udupi Food Hub,3.3,4.1,7,0,Beverages,Majestic, Bangalore,Aloo Tikka,,0,210.0
Wendy's Burgers,,4.1,0,0,Beverages,Abids, Hyderabad,BBQ Veggie Burger Combo,,0,259.0
MS Bakery,,4.1,0,0,Bakery,Attapur, Hyderabad,Macarom Biscuit [250 grams],,15,95.0
If Pizza,4.2,4.2,122,0,Fast Food,Pandav Nagar, New Delhi,Buttercotch Shake,,0,150.0
McDonald's,3.2,3.9,137,0,Fast Food,MPM Mall, Hyderabad,McSaver McSpicy Premium Chicken Meal,,27,385.0
IBC (Indian Biryani Company),,3.7,0,888,Mughlai,Koramangala 5th Block, Bangalore,Boneless Chicken Biryani [Serves 1-2],,8,310.0
Richi Rich,3.5,4.1,320,0,Street Food,Aliganj, Lucknow,Veg Kabab Paratha,BESTSELLER,39,189.0
Kuduk Chicken,3.9,4.1,60,0,Burger,Chowk, Lucknow,Kuduk Grilled Veg Sandwich,,39,65.0
Zam Zam Briyani,3.3,3.4,24,0,North Indian,Choolaimedu, Chennai,Mushroom Noodles,,0,150.0
Tower Burger,3.8,3.7,0,64,Beverages,Perambur, Chennai,Chicken Masala Bread Omelette,,0,90.0
The Burping Panda,,3.9,0,0,Pizza,Park Circus Area, Kolkata,Sweet and Sour Fish,,0,180.0
JBT Jaipur Burger Truck,3.9,4.2,15,0,Fast Food,Vaishali Nagar, Jaipur,Lemon Ice Tea,,5,119.0
MOJO Pizza - 2X Toppings,,4.3,0,0,Beverages,Bund Garden Road, Pune,"VEG Regular 7"" Make Your Own Pizza",,0,275.0
Platform 65,4.0,4.0,924,0,Beverages,Dilsukhnagar, Hyderabad,Egg Bhurji,,0,229.0
La Pino'z Pizza,3.6,3.8,26,944,Fast Food,Kankurgachi, Kolkata,Korma Chicken Pizza (personal Giant Slice (22.5 Cm)),,0,285.0
Savoury Sea Shell,4.0,4.1,848,0,Sichuan,Thousand Lights, Chennai,Hariyali Kabab,,0,416.0
Lucky Multicuisine Restaurant,4.2,3.8,692,0,Mandi,Somajiguda, Hyderabad,Aloo Gobi,,0,150.0
Khandelwal Dhaba Purana Wala,3.9,4.0,353,0,South Indian,Sikar Road, Jaipur,Veg Fried Rice,BESTSELLER,40,120.0
Nimrah Restaurant,3.9,4.1,72,857,Desserts,Nampally, Hyderabad,Spicy Punjabi Chicken Curry,,0,300.0
Keifer,,3.7,0,140,Shake,Purasavakkam, Chennai,Choco Truffle Pastry,,0,70.0
Cafe Ave Maria,,3.9,0,807,Bakery,Panaji, Goa,Espresso (single Shot),,0,70.0
McDonald's,3.8,4.0,726,0,Beverages,Crystal Palm Mall, Jaipur,McSpicy® Chicken,Not eligible for coupons,200,181.9
Cafe Niloufer,4.3,4.4,338,0,Beverages,Himayath Nagar, Hyderabad,Eggless Plum Loaf [250 gms],,8,186.4
Arsalan,3.9,4.2,0,0,Seafood,Park Street Area, Kolkata,Chicken Tikka Kebab [6 Pieces],,35,354.0
Kanha,3.8,4.2,872,0,Desserts,C Scheme, Jaipur,Matar Kulcha,,13,143.0
Hotel Rumaan,4.1,4.1,0,115,North Indian,Charminar, Hyderabad,Rumali Roti.,,35,20.0
Neelkanth Sweets,4.2,4.3,779,0,Beverages,Gomti Nagar, Lucknow,Mysore Pak,,8,180.0
Natural Ice Cream,4.2,4.5,368,0,Shake,JM Road, Pune,Fig and Honey (Medium Fat) Ice Cream,,0,69.92
Siddique Kabab Centre,4.4,4.1,732,0,Chinese,Tolichowki, Hyderabad,Paneer Butter Masala,,44,108.0
WOW! China,4.0,3.8,77,709,Seafood,Aminijikarai, Chennai,Veg Manchurian Regular,,0,165.0
Italian Bay,,4.2,0,911,Beverages,Bandra Kurla Complex, Mumbai,Pesto Garlic Bread,,7,199.0
Reena Paul's Kitchen,,4.1,0,0,Chinese,Anna Nagar West, Chennai,Chicken Chukka,,31,275.0
Alinea Restaurant & Banquet,3.9,4.0,363,0,Desserts,C G Road, Ahmedabad,Dal Khichdi Combo,BESTSELLER,23,249.0
Daily Sushi,4.3,4.3,138,240,Beverages,Church Street, Bangalore,"Sausage Maki Roll (Futomaki, 6 pcs)",,0,350.0
Nxtdoor,,3.9,0,0,Sichuan,Purasavakkam, Chennai,Jeera Rice with Dal Makhani,,9,229.5
A2B - Adyar Ananda Bhavan,3.4,4.1,6,0,Beverages,Shanti Nagar, Bangalore,Gongura Thokku 400 Grams,,0,223.21
Arabian Dreams,2.9,3.6,11,0,Shawarma,Kadavanthra, Kochi,Egg Fried Rice,,13,180.0
Chowman,4.4,4.1,882,0,Beverages,Hatibagan, Kolkata,Crab Meat In Black Bean Sauce,,0,430.0
Dimsum Momo Express,3.9,3.8,0,3,Chinese,Chembur, Mumbai,Prawn Nasi Goreng [Indonesian Fried Rice],,0,245.0
Jay Bhavani Vadapav,3.9,3.2,294,0,Beverages,Navrangpura, Ahmedabad,Cheese Sandwich,BESTSELLER,0,90.0
Harishankar Veg Restro,3.8,4.1,273,0,Beverages,Raja Park, Jaipur,Mattar Paneer Combo,,5,240.0
McDonald's,3.6,4.0,0,0,Beverages,Star Mall, Mumbai,McChicken Burger,BESTSELLER,185,135.24
Spice 9 Restaurant,3.6,3.9,30,0,Seafood,Malakpet, Hyderabad,Chicken Malai Kabab,,0,220.0
Burger Singh - Big Punjabi Burgers,3.8,4.2,11,210,Fast Food,Raja Park, Jaipur,3 Crispy Chicken Strips,,0,169.0
EatFit,,4.0,0,0,Beverages,Aminijikarai, Chennai,Asian Chicken Rice Bowl,BESTSELLER,6,288.0
Flavours Of China,4.2,4.0,395,0,Seafood,Dadar West, Mumbai,Pepper Garlic Mushroom Dry,,0,350.0
Khana Khazana,4.0,3.9,538,0,Pizza,Dobson Road, Kolkata,Hot Garlic Paneer Dry,,0,245.0
Papadams Blue,4.0,3.9,625,0,Desserts,Kothapet, Hyderabad,Amritsari Fish,,0,420.0
Sher-E-Punjab,3.3,3.7,310,0,Pizza,Theatre Road, Kolkata,Chicken Tikka [6 Pieces],MUST TRY,6,350.0
Pista House Bakery,,4.3,0,0,Beverages,Charminar, Hyderabad,Aflatoon 1Kg,,0,1200.0
Sethi Bar-Be-Que,,4.0,0,0,Rolls,Bani Park, Jaipur,Kadhai Paneer,,16,320.0
Armaani Biryani,,3.6,0,84,Seafood,Arumbakkam, Chennai,Chicken Curry (500ml),,0,229.0
Cafe Durbar AFC,3.8,3.7,36,0,Beverages,Pallimukku, Kochi,Pomegranate Juice,,0,120.0
Italio's Pizza,,3.9,0,0,Fast Food,C G Road, Ahmedabad,Peri Peri Paneer Pizza,,0,339.0
Lulu Hypermarket,3.9,3.9,23,0,Bakery,Rajajinagar, Bangalore,Almond Loaf Cake,,9,210.0
EatFit,,4.0,0,0,Beverages,Aminijikarai, Chennai,Paneer Bhurji Paratha,,8,219.0
FreshMenu,,3.9,0,0,Chinese,Frazer Town, Bangalore,Signature Roast Chicken Rice Bowl,,13,299.0
FreshMenu,,3.9,0,0,Chinese,Frazer Town, Bangalore,Moroccon Paneer Super Salad,,0,299.0
Hotel Karavali Food Point,3.7,3.6,196,0,Chinese,Vijay Nagar, Bangalore,Kori Roti Chicken Masala,,36,150.0
Anjappar,3.1,3.8,74,0,Beverages,Parrys, Chennai,Kadaai Paneer,,0,285.0
Prithvi Hotel,3.8,4.0,254,0,Desserts,Mani Nagar, Ahmedabad,Singapuri Veg (450-500gm Apx),,0,350.0
Cream Stone Ice Cream,4.1,4.3,133,0,Desserts,Begum Bazaar, Hyderabad,Desi Delight Sugar Free,,9,159.0
The Hazelnut Factory,4.3,4.4,780,0,Bakery,Nirala Nagar, Lucknow,Hazelnut Praline Cake [500 grams],CHEF'S SPECIAL,8,673.72
Richi Rich,3.5,4.1,320,0,Street Food,Aliganj, Lucknow,Paneer Mushroom Takatak,,7,419.0
New Santosh Dhaba,4.2,3.7,209,0,Beverages,Begum Bazaar, Hyderabad,Paneer Butter Masala,BESTSELLER,74,200.0
Eagle Bites Pizza,4.3,4.0,0,0,Pizza,Ruby Hospital Area, Kolkata,"7"" CHICKEN TIKKA DELIGHT PIZZA + 1 Brownie Bite + 250 Ml Thums Up Bottle [serves One]",,0,445.0
Hotel Swagath Grand,4.2,4.0,495,0,Beverages,Meerpet, Hyderabad,Fish Biryani,,46,245.0
Al Faham,3.6,3.6,117,0,Beverages,Vepery, Chennai,Chicken Seekh Hariyali,,0,195.0
WOW! Momo,,4.2,0,726,Beverages,Malakpet, Hyderabad,COCO CHARGE Tender Coconut Water,,0,95.23
Aromas Cafe & Bistro,4.3,4.0,0,0,Beverages,Linking Road, Mumbai,Beiruti Hummus,,0,329.0
Theobroma,3.3,4.3,32,0,Beverages,Lavelle Road, Bangalore,Roasted Chicken & Mustard Sandwich [250g],,0,230.0
Jhakas Family Restaurant,,3.7,0,668,Sichuan,Wadala, Mumbai,Chicken Kabsa Rice,,0,670.0
Meat And Eat,3.0,3.7,77,0,Beverages,Royapettah, Chennai,Peri Peri Fries - Regular,,0,99.0
Jhakas Family Restaurant,,3.7,0,668,Sichuan,Wadala, Mumbai,Chicken Dhoom 3,,0,500.0
McDonald's,3.6,3.9,152,0,Fast Food,Anna Salai, Chennai,Grilled Chicken & Cheese Burger + Masala Wedges (R),,0,196.19
Madhurima Veg,4.0,4.2,897,0,Beverages,Gomti Nagar, Lucknow,Malai Kofta (4pc),,5,410.0
Potoba,3.9,3.9,428,0,Beverages,Dadar West, Mumbai,Mushroom Tawa,,0,300.0
Jimis Burger,4.3,4.2,529,859,Beverages,Pali Hill, Mumbai,Classic Mutton,,26,369.0
MS Food,,3.7,0,5,Shake,Navrangpura, Ahmedabad,Schezwan Frankie,,0,80.0
Hotel Shubham Prestige,3.5,3.8,57,0,Beverages,Saroor Nagar, Hyderabad,Kaju Paneer Biryani,BESTSELLER,80,185.0
Kikki's Cafe,3.9,4.1,177,0,Pizza,Samta Colony, Raipur,Lovely Corn,,7,250.0
The Exotic Shawarma,3.7,4.0,44,0,Shawarma,Mehdipatnam, Hyderabad,Classic French Fries,,18,129.0
Burgerino,,3.5,0,234,Burger,Camp Area, Pune,Exotic Cheese Garlic Bread,,0,189.0
Grandson Of Tunday Kababi,4.0,3.7,443,0,Biryani,Sahara Ganj Mall, Lucknow,Sheermal,,96,20.0
Karnavati Snacks,3.4,3.6,1,201,Sandwich,Paldi, Ahmedabad,Butterscotch Shake,,0,120.0
The Momoz Hub,,4.0,0,183,Beverages,C Scheme, Jaipur,Pink Lady Mocktail,,0,154.0
Toscano,4.7,4.1,891,0,Beverages,Nungambakkam, Chennai,Feast in a Box with PASTAS - NON VEG (Serves 2-3),Not eligible for coupons,0,1395.0
Ganesh Bhojnalaya,3.5,4.1,460,0,North Indian,Lal Kothi, Jaipur,Butter Tandoori Roti,,861,20.0
Blue Nile,3.6,4.1,0,0,Beverages,Camp Area, Pune,Roasted Papad,,7,30.0
Confusion Box,,3.7,0,0,Pizza,Devendra Nagar, Raipur,Spicy Mexican Pizza,,0,249.0
Blue Tokai Coffee Roasters,4.3,4.1,265,0,Desserts,Mahalaxmi, Mumbai,Pesto Grilled Chicken Sandwich,,0,319.05
Grand Hotel,4.2,4.1,0,0,Beverages,Abids, Hyderabad,Grand Special Chicken Fried Rice,,143,180.0
Hotel N.G.T Non Veg,,4.0,0,908,Chinese,Vijay Nagar, Bangalore,Mushroom Manchurian,,5,90.0
Keventers - Milkshakes & Desserts,3.3,4.3,2,760,Desserts,The Pavillion, Pune,Mocha Almond Fudge Brownie Ice Cream [100 ml],,0,92.37
The House Of Momo's,4.3,3.6,35,0,Chinese,Mani Nagar, Ahmedabad,MIx Veg Steamed Makhani [6 Pieces],,0,158.0
Alinea Restaurant & Banquet,3.9,4.0,363,0,Desserts,C G Road, Ahmedabad,Subz Makhanwala [400 grams],,5,295.0
The Matka Biryani,,3.9,0,0,Lucknowi,Lower Parel, Mumbai,Butter Roti,,12,30.0
Capital Multi Cuisine Restaurant,2.7,3.7,32,428,Mughlai,Basheer Bagh, Hyderabad,Butter Chicken,,0,340.0
The Momoz Hub,,4.0,0,183,Beverages,C Scheme, Jaipur,Chicken Pan Fried Noodles With Chef Special Sauce,,0,329.0
Farki,3.8,4.3,1,477,Desserts,Ashram Road, Ahmedabad,Mango Rocket Kulfi,,0,50.85
A2B - Adyar Ananda Bhavan,3.6,4.2,137,0,Juices,Purasavakkam, Chennai,Singapore Fried Rice,,0,260.0
Delhi Zaika,3.8,3.6,327,0,Beverages,Mahim, Mumbai,Egg Masala,,0,229.0
Pai Brothers 36 Varities Of Dosa,3.7,4.0,138,0,Kerala,Kadavanthra, Kochi,Lasoon Podi Roast Dosa,,0,120.0
Starbucks Coffee,3.2,4.2,9,605,Pizza,Shankar Nagar, Raipur,Chilly Chicken in English Muffin,,8,260.0
Jal Mahal Ice Cream Parlour,4.1,4.4,848,0,Beverages,MI Road, Jaipur,Chic Choc,CHEF'S SPECIAL,0,400.0
FreshMenu,,3.9,0,0,Chinese,Frazer Town, Bangalore,Signature Roast Chicken Rice Bowl,,13,299.0
Pizza Hut,3.4,3.9,271,0,Beverages,Shanti Nagar, Bangalore,Ultimate Tandoori Veggie - New,MUST TRY,0,379.0
Slyce Pizza,,3.9,0,0,Fast Food,Lower Parel, Mumbai,Burrata Pizza,CHEF'S SPECIAL,6,575.0
The Momoz Hub,,4.0,0,183,Beverages,C Scheme, Jaipur,Chicken Pan Fried Noodles With Chef Special Sauce,,0,329.0
The Tea Planet,3.4,3.6,0,116,Coffee,Attapur, Hyderabad,Hot Hazelnut Coffee [330 ml],,0,99.0
FreshMenu,,3.9,0,662,Chinese,Sion, Mumbai,Dong Do Chicken Bowl,,0,299.0
Wendy's Burgers,,4.1,0,0,Beverages,Abids, Hyderabad,Double Decker Chicken Burger (New),,6,365.0
Mainland China,,4.1,0,643,Sichuan,Lower Parel, Mumbai,Ginger Chilli Chicken,,6,655.0
Brown Sugar,4.1,4.2,0,0,Beverages,Axis Mall, Jaipur,Fresh Lime Water,,0,100.0
Marrakesh,3.8,3.9,0,0,Beverages,FC Road, Pune,Falafel,BESTSELLER,22,179.0
WOW! Momo,,4.2,0,726,Beverages,Malakpet, Hyderabad,Veggie Moburg,,0,79.0
Babal Da Punjabi Dabha,4.4,4.2,405,0,Beverages,Egmore, Chennai,Cheese Tandoori Chicken,,7,420.0
Dadar Social,4.3,4.0,244,193,Beverages,Dadar West, Mumbai,Classic Chicken Momos,,0,325.0
New Grand Restaurant & Bakery,4.0,4.0,129,0,Bakery,Begum Bazaar, Hyderabad,Palak Paneer,,0,140.0
PVR Café,,4.0,0,65,Beverages,Hazratganj, Lucknow,French Fries,Not eligible for coupons,0,99.0
Sip & Bite,4.0,3.7,226,0,Pizza,Civil Lines, Raipur,Red and White Sauce,,7,259.0
1944 -The HOCCO Kitchen,4.3,4.3,0,0,Shake,Navrangpura, Ahmedabad,Chana Masala,,29,429.0
Universal Al Mataam Mandi Kebab & Biryani,3.9,3.7,288,0,Kebab,Yousufguda, Hyderabad,Chicken Fried Piece Biryani,MUST TRY,61,299.0
Domino's Pizza,3.9,3.9,563,0,Fast Food,Entally, Kolkata,Meal for 2: Pepper BBQ Chicken & Spiced Double Chicken,Not eligible for coupons,0,579.0
Fayrouz,4.3,4.1,322,0,Beverages,Prahlad Nagar, Ahmedabad,Mutton Spicy Andhra Masala,,0,621.0
Grand Bawarchi Restaurant,4.2,4.2,423,0,Kebab,Falaknuma, Hyderabad,Mutton Curry,,0,380.0
Gopaljee Cafe,4.1,4.1,121,0,Beverages,Koramangala 7th Block, Bangalore,Masala Buttermilk,,11,109.0
Neelkanth Sweets,4.2,4.3,779,0,Beverages,Gomti Nagar, Lucknow,Plain Barfi,,13,187.0
Blue Tokai Coffee Roasters,4.3,4.1,265,0,Desserts,Mahalaxmi, Mumbai,Toasted Sesame Bagel,,0,152.38
Rawat Mishthan Bhandar,,4.2,0,213,Street Food,Sindhi Camp, Jaipur,Pav Bhaji ( 2Pcs),,0,150.0
Art Of Dum,,4.4,0,0,Beverages,Worli, Mumbai,Mixed Veg Raita,,0,269.0
Jubilee Restaurant,,,0,0,Chinese,Panaji, Goa,Egg Bhurji [2 Egg],,0,70.0
Ritz Classic,4.4,4.1,105,405,Beverages,Mall De Goa, Goa,Kingfish Ambot Tik [2 Pieces],CHEF'S SPECIAL,0,650.0
NR - Navaratna Udupi Pure Veg,,3.8,2,418,South Indian,Porvorim, Goa,Veg Chilli Milli,,0,230.0
FPF Coffee Wale Bhaiya,3.8,4.1,12,388,Beverages,Vidhyadhar Nagar, Jaipur,Veg Grill Sandwich + Fries + Cold Coffee,,0,250.0
Agarwal Caterers,3.6,4.3,54,0,Fast Food,Shastri Nagar, Jaipur,Mawa Ka Petha,,66,107.14
Jassi De Parathe,4.3,4.3,0,0,Beverages,Vastrapur, Ahmedabad,Paneer Bhurji Sada Paratha Combo.,BESTSELLER,66,320.0
Unlimited Pizza & Fast Food Corner,,4.0,0,59,Street Food,Pink City, Jaipur,White Pasta,BESTSELLER,0,270.0
Tower Burger,3.8,3.7,0,64,Beverages,Perambur, Chennai,Chicken Masala Bread Omelette,,0,90.0
Creams N Caffeine,4.3,3.5,217,0,Pizza,Samta Colony, Raipur,Honey Potato Chilly,BESTSELLER,17,189.0
Little Hut,3.6,4.0,177,570,BBQ,Anna Nagar West, Chennai,Achari Chicken,,0,297.0
Mathsya,4.2,4.1,0,0,Shake,Egmore, Chennai,Guliappa,,0,105.0
Raasta Cafe,4.0,4.0,450,0,Pizza,Dobson Road, Kolkata,Crispy Baby Corn (Serve 1),BESTSELLER,34,159.0
Cafe Niloufer,4.3,4.4,338,0,Beverages,Himayath Nagar, Hyderabad,Eggless Plum Loaf [250 gms],,8,186.4
Brik Oven,4.6,3.9,0,0,Shake,Church Street, Bangalore,Diavola Pizza (Vegan),,0,460.0
Bunk Class,4.0,3.7,211,0,Pizza,Amanaka, Raipur,Bunk Special Sandwich,CHEF'S SPECIAL,0,119.0
Universal Al Mataam Mandi Kebab & Biryani,3.9,3.7,288,0,Kebab,Yousufguda, Hyderabad,Boneless Butter Chicken,,16,259.0
CakeZone,,4.2,0,0,Desserts,Himayath Nagar, Hyderabad,Mango Fruit Cake,,0,449.0
CA's Kitchen,,3.2,0,852,Pizza,Shankar Nagar, Raipur,Aloo Gobi,BESTSELLER,14,99.0
Pizza And Burger King,3.9,3.7,4,839,Beverages,Brahmpuri, Jaipur,Schezwann paneer burger with French fries (Free coke 250ml),NEW,0,320.0
